log(S/K),ttm,sigma,pathwise_delta,call_payoff,call_true,digital_payoff,digital_true,true_d_log(S/K),true_d_ttm,true_d2_log(S/K),path
0.37978372,1.4331659,1.4331659,0.0,0.0,0.8976596,0,0.32578343,1.223443,0.36026922,1.474823,0
-0.08473247,1.1192423,1.1192423,0.0,0.0,0.3674556,0,0.26260775,0.63006335,0.3260325,0.9213609,1
0.4971223,0.6845903,0.6845903,4.680538609575308,1.1634552672480103,0.75999606,1,0.6494608,1.4094568,0.3706064,1.950812,2
0.27361017,1.1802682,1.1802682,0.0,0.0,0.684409,0,0.36005425,1.0444633,0.3741371,1.3614566,3
-0.56258965,1.9887065,1.9887065,0.0,0.0,0.33315027,0,0.10075783,0.4339081,0.17646787,0.5226431,4
0.6593526,1.5218934,1.5218934,0.0,0.0,1.3372912,0,0.37156862,1.7088598,0.37808636,1.9572914,5
0.3620165,2.5485687,2.5485687,0.0,0.0,1.1949426,0,0.12876734,1.32371,0.21015304,1.4061692,6
0.39656934,2.7243452,2.7243452,0.0,0.0,1.2769967,0,0.11187679,1.3888736,0.19032818,1.4587355,7
-0.515544,1.4974892,1.4974892,0.0,0.0,0.25519136,0,0.13719323,0.3923846,0.21952671,0.53898114,8
-0.06877969,2.9470062,2.9470062,0.0,0.0,0.79769456,0,0.0672172,0.86491174,0.13013193,0.90906906,9
-0.17911197,0.3088602,0.3088602,0.0,0.0,0.04889694,0,0.23136988,0.28026682,0.30465716,1.2666583,10
0.5916219,0.90138376,0.90138376,0.0,0.0,0.9830696,0,0.58147043,1.56454,0.3905943,1.9978675,11
0.1994394,1.3084627,1.3084627,0.0,0.0,0.65654826,0,0.30790105,0.9644493,0.35174656,1.2332735,12
0.4474426,1.7898344,1.7898344,0.0,0.0,1.107523,0,0.2594875,1.3670105,0.3240351,1.5480525,13
-0.07844458,1.6831963,1.6831963,0.0,0.0,0.5401223,0,0.1872159,0.72733814,0.26890677,0.8870977,14
-0.37812743,1.7471327,1.7471327,0.0,0.0,0.3721997,0,0.13785799,0.5100577,0.22025228,0.6361227,15
0.075670585,2.6991272,2.6991272,0.0,0.0,0.894665,0,0.093162656,0.98782766,0.1666004,1.0495515,16
-0.6046777,0.90493906,0.90493906,0.0,0.0,0.09526056,0,0.13121489,0.22647546,0.21291007,0.46175107,17
0.45419323,2.468876,2.468876,0.0,0.0,1.3052518,0,0.14675099,1.4520029,0.22976863,1.545069,18
0.18252562,1.7182016,1.7182016,0.0,0.0,0.7738126,0,0.22576398,0.99957657,0.30048865,1.1744621,19
0.35778558,1.5224224,1.5224224,0.0,0.0,0.90257215,0,0.29937446,1.2019466,0.34736404,1.430112,20
-0.20166983,0.9682989,0.9682989,0.0,0.0,0.25317633,0,0.24433628,0.4975126,0.31390578,0.82169527,21
0.652526,0.98179954,0.98179954,23.49664601643235,3.847334054935338,1.113418,1,0.5689583,1.6823763,0.39296752,2.0826285,22
0.5449816,1.2265916,1.2265916,1.5936848395472794,0.26241225277164704,1.0414063,1,0.43290222,1.4743085,0.39328635,1.7949421,23
0.38592148,2.3141804,2.3141804,228.90752464891193,14.129691794965835,1.1734915,1,0.16100734,1.3344989,0.24431142,1.4400703,24
-0.42332065,1.4825253,1.4825253,0.0,0.0,0.29024145,0,0.15225667,0.44249812,0.23548675,0.60133976,25
-0.046134483,0.54611766,0.54611766,0.0,0.0,0.18852913,0,0.3603453,0.54887444,0.3742413,1.2341504,26
-0.63242227,2.3036032,2.3036032,0.0,0.0,0.35337925,0,0.07688545,0.43026468,0.1442571,0.49288705,27
-0.47925654,2.023802,2.023802,0.0,0.0,0.37765533,0,0.10588544,0.48354077,0.18294348,0.5739367,28
0.25375974,2.8527925,2.8527925,0.0,0.0,1.1147506,0,0.09053877,1.2052894,0.16311204,1.2624657,29
0.3393124,1.6353009,1.6353009,0.0,0.0,0.91878843,0,0.27087855,1.189667,0.33118278,1.392188,30
0.6481061,1.9978242,1.9978242,0.0,0.0,1.4843718,0,0.24999478,1.7343665,0.31777307,1.8934261,31
-0.24145733,1.4900578,1.4900578,0.0,0.0,0.38340107,0,0.18218365,0.5655847,0.26438984,0.74302065,32
-0.17958099,2.0742626,2.0742626,0.0,0.0,0.5622315,0,0.13056867,0.69280016,0.21218488,0.7950943,33
