,control_var,ffn,differential,resnet,poly_reg,MC
pred_l1,0.09215424994319184,0.0969415118097311,0.005386123225886354,0.0722803973997865,0.10229028688273605,0.0007031197481385193
pred_l2,0.11765983492345311,0.12452313353192276,0.007128412942934939,0.0926086202738357,0.1291593641707008,0.0007352930241533589
pred_l_inf,0.5042847586257476,0.5919687164960022,0.04998163287949294,0.50969774564086,0.5352217925161132,0.0010414464966393006
pred_lower_bound_violation,0.31088,0.31824,0.006280000000000001,0.26486,0.3216,0.0
grad_l1,0.0022747987580893957,0.002820412443885824,0.0006035558914115219,0.0022574859660068093,0.1345536402420331,3.017241334126153e-05
grad_l2,0.00288253393809299,0.0035311566121571333,0.0007622683742151169,0.0028157570112783406,0.17242927969229285,3.437070777882453e-05
grad_l_inf,0.012922490128868064,0.014813164632842787,0.004638772897147529,0.01129934592492659,1.0267118361533203,6.816458327409992e-05
grad_lower_bound_violation,0.056220000000000006,0.12462,4e-05,0.05514,0.486,0.0
inference_time,0.0728795051574707,0.06337356567382812,0.06738820075988769,0.07449884414672851,52.41284108161926,131.37
train_time,15.636593627929688,15.140941333770751,18.09296498298645,16.511094427108766,22.910832166671753,
model_complexity,20902.0,20901.0,20901.0,20901.0,5151.0,
total_time,15.709473133087158,15.20431489944458,18.160353183746338,16.585593271255494,75.32367324829102,131.37
