,ffn,resnet,poly_reg
all_mse,0.28311052918434143,0.2855348289012909,0.22755493223667145
all_mae,0.43768274784088135,0.4384862780570984,0.37604108452796936
all_mape,127.96199798583984,127.72247314453125,145.29103088378906
train_time,125.15474081039429,119.80286073684692,7.279473781585693
model_parameters,69132.0,69132.0,715.0
inf_time,3.264309883117676,3.2922871112823486,3.2922871112823486
alpha_mse,0.3028276264667511,0.30547064542770386,0.22417527437210083
rho_mse,0.34687402844429016,0.34561312198638916,0.3076326847076416
vol-of-vol_mse,0.33482006192207336,0.3347386121749878,0.28866055607795715
vol_0_mse,0.1479204148054123,0.15631701052188873,0.08975115418434143
alpha_mae,0.47186630964279175,0.47459450364112854,0.38995084166526794
rho_mae,0.5061338543891907,0.5049577951431274,0.46856364607810974
vol-of-vol_mae,0.49933645129203796,0.49968424439430237,0.4576011002063751
vol_0_mae,0.273394376039505,0.27470862865448,0.18804866075515747
